epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.2766,2.1512,4.25115,1.85116,0.14307,0.27969,0.11003,0.05064,1.92985,3.08332,1.63895,0.00331541,0.00331541,0.00331541
2,155.876,1.95164,2.694,1.56136,0.14584,0.17222,0.06414,0.02646,2.16661,3.4923,1.83451,0.00663462,0.00663462,0.00663462
3,228.145,2.03739,2.68859,1.6015,0.48444,0.10895,0.0672,0.01916,2.41921,3.83145,1.98438,0.00993966,0.00993966,0.00993966
4,300.115,2.12012,2.75099,1.69271,0.06116,0.08005,0.01781,0.00704,2.53886,3.65832,2.28124,0.00993625,0.00993625,0.00993625
5,372.116,2.04591,2.62398,1.66123,0.14607,0.2213,0.09127,0.03717,2.03923,3.11446,1.71735,0.009915,0.009915,0.009915
6,444.103,2.04104,2.52825,1.675,0.11717,0.25745,0.09653,0.03541,2.07422,3.0027,1.78102,0.00989375,0.00989375,0.00989375
7,515.937,1.99545,2.38819,1.63008,0.2297,0.21424,0.1254,0.06029,2.01834,2.73656,1.74208,0.0098725,0.0098725,0.0098725
8,587.942,1.99899,2.41019,1.66262,0.25086,0.15747,0.12381,0.05687,2.06625,2.83768,1.88858,0.00985125,0.00985125,0.00985125
9,659.803,1.94386,2.33325,1.63561,0.17368,0.22885,0.11185,0.04869,2.0861,2.81916,1.79136,0.00983,0.00983,0.00983
10,731.669,1.93932,2.30931,1.63938,0.13888,0.31988,0.17735,0.0852,1.9134,2.55557,1.67913,0.00980875,0.00980875,0.00980875
11,803.644,1.90448,2.25976,1.60472,0.1972,0.2511,0.15417,0.07929,1.9699,2.53805,1.72128,0.0097875,0.0097875,0.0097875
12,875.543,1.89075,2.22576,1.56936,0.21476,0.32643,0.17328,0.08359,1.89441,2.55705,1.67761,0.00976625,0.00976625,0.00976625
13,947.255,1.854,2.17673,1.56646,0.21236,0.16147,0.11998,0.05335,2.03285,2.84917,1.77222,0.009745,0.009745,0.009745
14,1019.14,1.84697,2.15071,1.56197,0.27588,0.25735,0.21166,0.10306,1.87472,2.53696,1.65292,0.00972375,0.00972375,0.00972375
15,1091.11,1.80974,2.11146,1.52432,0.21711,0.31737,0.19093,0.09096,1.83785,2.57805,1.62853,0.0097025,0.0097025,0.0097025
16,1163.1,1.80313,2.09252,1.52592,0.25474,0.26995,0.19102,0.08998,1.95115,2.53178,1.70743,0.00968125,0.00968125,0.00968125
17,1235.11,1.80182,2.09714,1.52022,0.23899,0.23735,0.171,0.07593,1.97705,2.62357,1.70953,0.00966,0.00966,0.00966
18,1307,1.77258,2.02998,1.51222,0.27626,0.2727,0.21984,0.11984,1.82865,2.43038,1.66102,0.00963875,0.00963875,0.00963875
19,1379.12,1.77443,1.98994,1.52672,0.20121,0.28868,0.19534,0.09219,1.89335,2.56625,1.67215,0.0096175,0.0096175,0.0096175
20,1451.04,1.76883,1.99866,1.51615,0.21591,0.28247,0.20816,0.11034,1.79004,2.43181,1.60492,0.00959625,0.00959625,0.00959625
